#{"t_start": 1741449684.657253, "env_id": "None"}
r,l,t
-2769.3096,1001,2626.255081
-5115.352,1001,2626.665164
594.59607,531,2628.009951
-6016.558,712,2631.962432
-1487.7145,1001,2633.606463
3293.9175,1001,2635.731321
-6763.2207,1001,2636.710399
-2073.3823,204,2640.180456
4794.6855,1001,2642.374292
-2592.6655,315,2646.185515
-2040.0857,289,2651.735161
-4206.5415,476,2652.191823
-778.80054,1001,2659.223331
-3089.1519,1001,2659.624754
2156.4595,1001,2661.226065
-4116.241,1001,2665.126414
-4707.7354,1001,2682.77014
-4462.3013,1001,2688.148524
-1122.4111,1001,2693.787866
-3113.3499,1001,2694.177484
-1910.1066,220,2695.434403
-4911.2397,1001,2701.543169
1348.6533,1001,2701.956788
3350.1418,1001,2703.274921
-4676.8145,1001,2707.219527
-572.5937,283,2711.307191
-2754.0835,1001,2715.446293
3521.9124,436,2716.012299
-3045.6594,792,2721.45978
651.0936,1001,2726.399446
-7821.667,1001,2726.821131
-3160.7378,343,2732.209792
-4387.716,1001,2735.329813
4576.073,1001,2739.200863
-3924.839,1001,2743.129669
-2952.5706,437,2746.174579
-6916.4277,1001,2757.479073
-3264.0586,1001,2758.137884
-8128.6973,1001,2768.325616
930.5633,1001,2768.734826
-3968.1475,1001,2777.107503
1154.6287,1001,2781.082593
-3000.9888,427,2782.408783
-2370.8303,884,2784.43112
1632.3945,1001,2785.242691
2995.574,1001,2789.299226
2414.318,1001,2789.987773
-4719.835,1001,2800.260798
-5004.541,577,2802.653259
-6357.0127,1001,2808.992251
-2586.125,284,2811.744302
-746.5486,1001,2813.123268
-4811.0493,1001,2814.490125
648.36804,1001,2817.335117
-3307.2466,1001,2821.27326
-4215.1816,1001,2821.988804
-4601.8716,499,2835.552447
213.61333,1001,2842.390652
-6810.2285,794,2848.00048
4370.3936,1001,2853.153577
3905.8755,1001,2855.707114
-5185.3667,1001,2858.500592
-1848.2054,354,2859.48438
4199.8867,1001,2862.972126
5287.471,1001,2863.600775
-1392.5122,1001,2867.207688
-5638.1733,785,2867.707346
-2850.804,335,2870.115712
-2673.8296,277,2872.306611
163.95193,274,2872.893265
-7624.483,1001,2885.870158
1830.74,1001,2888.584301
617.5877,1001,2892.297684
-2526.231,1001,2909.143797
4660.8184,1001,2909.600983
1185.2974,1001,2911.69794
1226.3448,1001,2914.073579
-412.36627,1001,2914.766541
1197.7166,620,2918.650532
3094.0793,659,2923.333498
3852.099,1001,2928.305834
3245.9785,1001,2941.166535
4921.7754,1001,2941.70053
-6091.251,1001,2943.933151
1866.5153,1001,2946.096391
-2175.6953,1001,2946.640819
-2107.4346,1001,2950.266604
557.0082,315,2951.796694
-3099.5881,1001,2955.457257
2344.4934,1001,2960.297138
-3254.0652,448,2960.897415
-1393.6954,218,2967.392249
2828.3618,1001,2973.42645
-716.51733,1001,2985.908653
3303.5415,1001,2988.60288
-1259.567,1001,2992.347563
-3333.6116,1001,2994.056155
-3121.901,366,2995.32792
-4040.9854,1001,2997.334718
-1924.5818,211,2999.316781
4526.1475,1001,3002.650497
3552.6477,1001,3010.374296
-5550.265,1001,3018.731408
-3035.3892,320,3020.697109
